id_Social;any;data;hora;idEstructura;;;;;;;;
355;2021;13/05/2021;17:10;BelpreixanaDevesa;;;;;;;;
356;2021;18/05/2021;11:49;Montrepos;;;;;;;;
357;2021;18/05/2021;12:35;Biscarri;;;;;;;;
358;2021;18/05/2021;16:28;BelpreixanaFondoStJulia;;;;;;;;
359;2021;18/05/2021;17:15;BelpreixanaBarquera;;;;;;;;
360;2021;18/05/2021;17:37;BelpreixanaCabanaCaçadors;;;;;;;;
361;2021;18/05/2021;17:56;BelpreixanaPedreres;;;;;;;;
362;2021;18/05/2021;NA;BelpreixanaSocarrades;;;;;;;;
363;2021;18/05/2021;NA;BelpreixanaArbequi;;;;;;;;
364;2021;19/05/2021;8:00;Cadolles;;;;;;;;
365;2021;19/05/2021;9:04;BellmuntAgramuntE;;;;;;;;
366;2021;19/05/2021;9:04;BellmuntAgramuntO;;;;;;;;
367;2021;19/05/2021;NA;BellmuntTrepatBaixO;;;;;;;;
368;2021;19/05/2021;NA;LesQuadres;;;;;;;;
369;2021;19/05/2021;12:20;TossalRodo;;;;;;;;
370;2021;19/05/2021;13:37;OsBalaguer;;;;;;;;
371;2021;19/05/2021;14:17;Cantaperdius;;;;;;;;
372;2021;19/05/2021;15:00;StaBarbara;;;;;;;;
373;2021;19/05/2021;15:05;Ivars;;;;;;;;
374;2021;19/05/2021;17:00;Palmero;;;;;;;;
375;2021;20/05/2021;NA;Bellmunt19;;;;;;;;
376;2021;24/05/2021;9:04;BellmuntAgramuntE;;;;;;;;
377;2021;24/05/2021;9:28;BellmuntAgramuntO;;;;;;;;
378;2021;24/05/2021;12:55;BellmuntTrepatBaixO;;;;;;;;
379;2021;24/05/2021;14:10;Bellmunt22;;;;;;;;
380;2021;24/05/2021;15:27;Bellmunt16;;;;;;;;
381;2021;24/05/2021;16:36;Bellmunt15;;;;;;;;
382;2021;25/05/2021;12:00;BelpreixanaMontreposNW;;;;;;;;
383;2021;25/05/2021;12:24;BelpreixanaArbequi;;;;;;;;
384;2021;25/05/2021;12:50;BelpreixanaCanal;;;;;;;;
385;2021;25/05/2021;13:15;BelpreixanaMontalba;;;;;;;;
386;2021;25/05/2021;13:25;BelpreixanaBarquera;;;;;;;;
387;2021;25/05/2021;14:15;BelpreixanaSocarrades;;;;;;;;
388;2021;25/05/2021;14:26;BelpreixanaFondoStJulia;;;;;;;;
389;2021;25/05/2021;15:33;BelpreixanaPedreres;;;;;;;;
390;2021;01/06/2021;8:06;MasMelValldelsPous;;;;;;;;
391;2021;01/06/2021;7:45;ValldelsPous;;;;;;;;
392;2021;01/06/2021;11:38;RocaGuilla;;;;;;;;
393;2021;01/06/2021;15:54;casa abandonada Montrepos;;;;;;;;
394;2021;01/06/2021;16:26;BelpreixanaMontreposNW;;;;;;;;
395;2021;01/06/2021;16:32;camp;;;;;;;;
396;2021;01/06/2021;16:55;TossalFonta;;;;;;;;
397;2021;01/06/2021;18:36;BelpreixanaMontalba;;;;;;;;
398;2021;02/06/2021;8:34;TossalRodo;;;;;;;;
399;2021;02/06/2021;9:42;OsBalaguer;;;;;;;;
400;2021;02/06/2021;10:06;Cantaperdius;;;;;;;;
401;2021;02/06/2021;10:40;StaBarbara;;;;;;;;
402;2021;02/06/2021;10:59;Ivars;;;;;;;;
403;2021;02/06/2021;NA;Cadolles;;;;;;;;
404;2021;02/06/2021;14:16;Bellmunt11;;;;;;;;
405;2021;02/06/2021;14:35;Bellmunt12;;;;;;;;
406;2021;02/06/2021;14:50;Bellmunt15;;;;;;;;
407;2021;02/06/2021;15:03;Bellmunt16;;;;;;;;
408;2021;02/06/2021;15:22;Bellmunt21;;;;;;;;
409;2021;02/06/2021;18:20;PlaRoquis;;;;;;;;
410;2021;02/06/2021;19:02;ValldelsPous;;;;;;;;
411;2021;03/06/2021;7:16;Palmero;;;;;;;;
412;2021;03/06/2021;7:39;RocaGuilla;;;;;;;;
413;2021;03/06/2021;9:28;Montrepos;;;;;;;;
414;2021;03/06/2021;9:39;BelpreixanaMontreposNW;;;;;;;;
